Phage,Time,Temp,Rep,tr_1,tr_2,tr_3,Average,Dilution,PFU_ML,PFU_ML_round,Rel_PFU_ml
PEV2,0,37,0,48,46,48,47.33333333,-3,47333.33333,47333,1
PEV2,0,40,0,48,46,48,47.33333333,-3,47333.33333,47333,1
PEV2,0,42,0,48,46,48,47.33333333,-3,47333.33333,47333,1
PEV2,5,37,1,19,32,26,25.66666667,-1,25666.66667,25667,0.542253521
PEV2,5,37,2,22,19,26,22.33333333,-1,22333.33333,22333,0.471830986
PEV2,5,37,3,21,30,29,26.66666667,-1,26666.66667,26667,0.563380282
PEV2,5,40,1,30,25,29,28,-1,28000,28000,0.591549296
PEV2,5,40,2,25,22,29,25.33333333,-1,25333.33333,25333,0.535211268
PEV2,5,40,3,32,19,21,24,-1,24000,24000,0.507042254
PEV2,5,42,1,52,45,43,46.66666667,-1,46666.66667,46667,0.985915493
PEV2,5,42,2,33,46,43,40.66666667,-1,40666.66667,40667,0.85915493
PEV2,5,42,3,47,40,46,44.33333333,-1,44333.33333,44333,0.936619718
PEV2,10,37,1,23,21,26,23.33333333,-1,23333.33333,23333,0.492957746
PEV2,10,37,2,17,14,19,16.66666667,-1,16666.66667,16667,0.352112676
PEV2,10,37,3,27,22,23,24,-1,24000,24000,0.507042254
PEV2,10,40,1,28,30,26,28,-1,28000,28000,0.591549296
PEV2,10,40,2,29,22,26,25.66666667,-1,25666.66667,25667,0.542253521
PEV2,10,40,3,29,23,29,27,-1,27000,27000,0.570422535
PEV2,10,42,1,41,38,33,37.33333333,-1,37333.33333,37333,0.788732394
PEV2,10,42,2,42,25,54,40.33333333,-1,40333.33333,40333,0.852112676
PEV2,10,42,3,42,45,43,43.33333333,-1,43333.33333,43333,0.915492958
PEV2,15,37,1,22,20,20,20.66666667,-1,20666.66667,20667,0.436619718
PEV2,15,37,2,20,21,17,19.33333333,-1,19333.33333,19333,0.408450704
PEV2,15,37,3,21,23,21,21.66666667,-1,21666.66667,21667,0.457746479
PEV2,15,40,1,20,27,13,20,-1,20000,20000,0.422535211
PEV2,15,40,2,23,20,26,23,-1,23000,23000,0.485915493
PEV2,15,40,3,30,14,19,21,-1,21000,21000,0.443661972
PEV2,15,42,1,34,34,41,36.33333333,-1,36333.33333,36333,0.767605634
PEV2,15,42,2,39,45,50,44.66666667,-1,44666.66667,44667,0.943661972
PEV2,15,42,3,38,40,51,43,-1,43000,43000,0.908450704
PEV2,20,37,1,13,13,16,14,-1,14000,14000,0.295774648
PEV2,20,37,2,14,17,10,13.66666667,-1,13666.66667,13667,0.288732394
PEV2,20,37,3,14,21,17,17.33333333,-1,17333.33333,17333,0.366197183
PEV2,20,40,1,22,16,23,20.33333333,-1,20333.33333,20333,0.429577465
PEV2,20,40,2,27,25,19,23.66666667,-1,23666.66667,23667,0.5
PEV2,20,40,3,23,24,17,21.33333333,-1,21333.33333,21333,0.450704225
PEV2,20,42,1,49,42,47,46,-1,46000,46000,0.971830986
PEV2,20,42,2,50,47,42,46.33333333,-1,46333.33333,46333,0.978873239
PEV2,20,42,3,51,54,42,49,-1,49000,49000,1.035211268
LUZ19,0,37,0,18,28,22,22.66666667,-3,22666.66667,22667,1
LUZ19,0,40,0,18,28,22,22.66666667,-3,22666.66667,22667,1
LUZ19,0,42,0,18,28,22,22.66666667,-3,22666.66667,22667,1
LUZ19,5,37,1,15,16,13,14.66666667,-1,14666.66667,14667,0.647058824
LUZ19,5,37,2,20,20,20,20,,20000,20000,0.882352941
LUZ19,5,37,3,18,17,15,16.66666667,,16666.66667,16667,0.735294118
LUZ19,5,40,1,17,11,21,16.33333333,,16333.33333,16333,0.720588235
LUZ19,5,40,2,19,25,17,20.33333333,,20333.33333,20333,0.897058824
LUZ19,5,40,3,11,10,12,11,,11000,11000,0.485294118
LUZ19,5,42,1,17,14,17,16,,16000,16000,0.705882353
LUZ19,5,42,2,14,15,17,15.33333333,,15333.33333,15333,0.676470588
LUZ19,5,42,3,17,10,16,14.33333333,,14333.33333,14333,0.632352941
LUZ19,10,37,1,13,19,21,17.66666667,,17666.66667,17667,0.779411765
LUZ19,10,37,2,14,18,18,16.66666667,,16666.66667,16667,0.735294118
LUZ19,10,37,3,14,14,14,14,,14000,14000,0.617647059
