time_point,hour,Temp,Phage,order,Biol rep,Batch,OD,CFU_ml
T0,0,37,14_1,3,1,1,0.017833333,14333333.33
T0,0,37,14_1,3,1,2,0.016,11666666.67
T0,0,37,14_1,3,1,3,0.020833333,22000000
T0,0,37,LUZ19,2,1,1,0.017833333,14333333.33
T0,0,37,LUZ19,2,1,2,0.016,11666666.67
T0,0,37,LUZ19,2,1,3,0.020833333,22000000
T0,0,37,No_phage,8,1,1,0.017833333,14333333.33
T0,0,37,No_phage,8,1,2,0.016,11666666.67
T0,0,37,No_phage,8,1,3,0.020833333,22000000
T0,0,37,PEV2,1,1,1,0.017833333,14333333.33
T0,0,37,PEV2,1,1,2,0.016,11666666.67
T0,0,37,PEV2,1,1,3,0.020833333,22000000
T0,0,40,14_1,3,1,1,0.015166667,7333333.333
T0,0,40,14_1,3,1,2,0.017666667,16500000
T0,0,40,14_1,3,1,3,0.017836667,29000000
T0,0,40,LUZ19,2,1,1,0.015166667,7333333.333
T0,0,40,LUZ19,2,1,2,0.017666667,16500000
T0,0,40,LUZ19,2,1,3,0.017836667,29000000
T0,0,40,No_phage,8,1,1,0.015166667,7333333.333
T0,0,40,No_phage,8,1,2,0.017666667,16500000
T0,0,40,No_phage,8,1,3,0.017836667,29000000
T0,0,40,PEV2,1,1,1,0.015166667,7333333.333
T0,0,40,PEV2,1,1,2,0.017666667,16500000
T0,0,40,PEV2,1,1,3,0.017836667,29000000
T0,0,42,14_1,3,1,1,0.0165,16833333.33
T0,0,42,14_1,3,1,2,0.012666667,21666666.67
T0,0,42,14_1,3,1,3,0.01929,26166666.67
T0,0,42,LUZ19,2,1,1,0.0165,16833333.33
T0,0,42,LUZ19,2,1,2,0.012666667,21666666.67
T0,0,42,LUZ19,2,1,3,0.01929,26166666.67
T0,0,42,No_phage,8,1,1,0.0165,16833333.33
T0,0,42,No_phage,8,1,2,0.012666667,21666666.67
T0,0,42,No_phage,8,1,3,0.01929,26166666.67
T0,0,42,PEV2,1,1,1,0.0165,16833333.33
T0,0,42,PEV2,1,1,2,0.012666667,21666666.67
T0,0,42,PEV2,1,1,3,0.01929,26166666.67
T2,2,37,14_1,3,1,1,0.035,19000000
