time_point,hour,Temp,Phage,Biol rep,cfu_1,cfu_2,cfu_3,Dilution,cfu_avg,cfu_10ul,diltution_plus_two,CFU_ml
T0,0,37,14_1,1,33,24,29,4,28.66666667,14.33333333,6,14333333.33
T0,0,37,14_1,2,15,23,32,4,23.33333333,11.66666667,6,11666666.67
T0,0,37,14_1,3,38,46,48,4,44,22,6,22000000
T0,0,37,luz19,1,33,24,29,4,28.66666667,14.33333333,6,14333333.33
T0,0,37,luz19,2,15,23,32,4,23.33333333,11.66666667,6,11666666.67
T0,0,37,luz19,3,38,46,48,4,44,22,6,22000000
T0,0,37,No_phage,1,33,24,29,4,28.66666667,14.33333333,6,14333333.33
T0,0,37,No_phage,2,15,23,32,4,23.33333333,11.66666667,6,11666666.67
T0,0,37,No_phage,3,38,46,48,4,44,22,6,22000000
T0,0,37,pev2,1,33,24,29,4,28.66666667,14.33333333,6,14333333.33
T0,0,37,pev2,2,15,23,32,4,23.33333333,11.66666667,6,11666666.67
T0,0,37,pev2,3,38,46,48,4,44,22,6,22000000
T0,0,40,14_1,1,13,16,15,4,14.66666667,7.333333333,6,7333333.333
T0,0,40,14_1,2,29,35,35,4,33,16.5,6,16500000
T0,0,40,14_1,3,62,61,51,4,58,29,6,29000000
T0,0,40,luz19,1,13,16,15,4,14.66666667,7.333333333,6,7333333.333
T0,0,40,luz19,2,29,35,35,4,33,16.5,6,16500000
T0,0,40,luz19,3,62,61,51,4,58,29,6,29000000
T0,0,40,No_phage,1,13,16,15,4,14.66666667,7.333333333,6,7333333.333
T0,0,40,No_phage,2,29,35,35,4,33,16.5,6,16500000
T0,0,40,No_phage,3,62,61,51,4,58,29,6,29000000
T0,0,40,pev2,1,13,16,15,4,14.66666667,7.333333333,6,7333333.333
T0,0,40,pev2,2,29,35,35,4,33,16.5,6,16500000
T0,0,40,pev2,3,62,61,51,4,58,29,6,29000000
T0,0,42,14_1,1,35,38,28,4,33.66666667,16.83333333,6,16833333.33
T0,0,42,14_1,2,46,39,45,4,43.33333333,21.66666667,6,21666666.67
T0,0,42,14_1,3,55,55,47,4,52.33333333,26.16666667,6,26166666.67
T0,0,42,luz19,1,35,38,28,4,33.66666667,16.83333333,6,16833333.33
T0,0,42,luz19,2,46,39,45,4,43.33333333,21.66666667,6,21666666.67
T0,0,42,luz19,3,55,55,47,4,52.33333333,26.16666667,6,26166666.67
T0,0,42,No_phage,1,35,38,28,4,33.66666667,16.83333333,6,16833333.33
T0,0,42,No_phage,2,46,39,45,4,43.33333333,21.66666667,6,21666666.67
T0,0,42,No_phage,3,55,55,47,4,52.33333333,26.16666667,6,26166666.67
T0,0,42,pev2,1,35,38,28,4,33.66666667,16.83333333,6,16833333.33
T0,0,42,pev2,2,46,39,45,4,43.33333333,21.66666667,6,21666666.67
T0,0,42,pev2,3,55,55,47,4,52.33333333,26.16666667,6,26166666.67
T2,2,37,14_1,1,42,37,35,4,38,19,6,19000000
T2,2,37,14_1,2,34,29,26,4,29.66666667,14.83333333,6,14833333.33
T2,2,37,14_1,3,50,52,45,4,49,24.5,6,24500000
T2,2,37,luz19,1,9,9,14,4,10.66666667,5.333333333,6,5333333.333
T2,2,37,luz19,2,11,10,9,4,10,5,6,5000000
T2,2,37,luz19,3,37,22,28,4,29,14.5,6,14500000
T2,2,37,pev2,1,2,3,3,3,2.666666667,1.333333333,5,133333.3333
T2,2,37,pev2,2,4,11,12,3,9,4.5,5,450000
T2,2,37,pev2,3,2,6,7,3,5,2.5,5,250000
T2,2,40,14_1,1,59,57,54,4,56.66666667,28.33333333,6,28333333.33
T2,2,40,14_1,2,46,45,45,4,45.33333333,22.66666667,6,22666666.67
T2,2,40,14_1,3,82,90,103,4,91.66666667,45.83333333,6,45833333.33
T2,2,40,luz19,1,22,21,24,4,22.33333333,11.16666667,6,11166666.67
T2,2,40,luz19,2,10,7,15,4,10.66666667,5.333333333,6,5333333.333
T2,2,40,luz19,3,49,50,60,4,53,26.5,6,26500000
T2,2,40,pev2,1,62,63,70,3,65,32.5,5,3250000
T2,2,40,pev2,2,53,45,53,3,50.33333333,25.16666667,5,2516666.667
T2,2,40,pev2,3,66,77,80,3,74.33333333,37.16666667,5,3716666.667
T2,2,42,14_1,1,49,38,44,4,43.66666667,21.83333333,6,21833333.33
T2,2,42,14_1,2,70,71,63,4,68,34,6,34000000
T2,2,42,14_1,3,63,60,59,4,60.66666667,30.33333333,6,30333333.33
