Phage,Time,Temp,Rep,tr_1,tr_2,tr_3,Average,Dilution,PFU_ML
PEV2,0,37,0,45,37,40,40.66666667,-2,406666.6667
PEV2,0,40,0,45,37,40,40.66666667,-2,406666.6667
PEV2,0,42,0,45,37,40,40.66666667,-2,406666.6667
PEV2,2.5,37,1,43,37,40,40,-2,400000
PEV2,2.5,37,2,34,31,35,33.33333333,-2,333333.3333
PEV2,2.5,37,3,31,34,35,33.33333333,-2,333333.3333
PEV2,2.5,40,1,32,23,29,28,-2,280000
PEV2,2.5,40,2,27,32,46,35,-2,350000
PEV2,2.5,40,3,38,31,29,32.66666667,-2,326666.6667
PEV2,2.5,42,1,30,31,41,34,-2,340000
PEV2,2.5,42,2,39,25,33,32.33333333,-2,323333.3333
PEV2,2.5,42,3,40,36,28,34.66666667,-2,346666.6667
PEV2,5,37,1,26,34,27,29,-2,290000
PEV2,5,37,2,38,26,28,30.66666667,-2,306666.6667
PEV2,5,37,3,36,32,34,34,-2,340000
PEV2,5,40,1,32,33,31,32,-2,320000
PEV2,5,40,2,27,31,34,30.66666667,-2,306666.6667
PEV2,5,40,3,36,37,42,38.33333333,-2,383333.3333
PEV2,5,42,1,39,28,28,31.66666667,-2,316666.6667
PEV2,5,42,2,38,25,27,30,-2,300000
PEV2,5,42,3,40,27,38,35,-2,350000
PEV2,7.5,37,1,34,37,32,34.33333333,-2,343333.3333
PEV2,7.5,37,2,35,39,24,32.66666667,-2,326666.6667
PEV2,7.5,37,3,37,39,31,35.66666667,-2,356666.6667
PEV2,7.5,40,1,32,24,34,30,-2,300000
PEV2,7.5,40,2,35,32,30,32.33333333,-2,323333.3333
PEV2,7.5,40,3,33,32,35,33.33333333,-2,333333.3333
PEV2,7.5,42,1,31,32,30,31,-2,310000
PEV2,7.5,42,2,38,43,35,38.66666667,-2,386666.6667
PEV2,7.5,42,3,36,37,36,36.33333333,-2,363333.3333
PEV2,24,37,1,22,29,19,23.33333333,-2,233333.3333
PEV2,24,37,2,24,23,22,23,-2,230000
PEV2,24,37,3,26,20,23,23,-2,230000
PEV2,24,40,1,22,18,16,18.66666667,-2,186666.6667
PEV2,24,40,2,15,20,16,17,-2,170000
PEV2,24,40,3,23,20,27,23.33333333,-2,233333.3333
PEV2,24,42,1,17,11,17,15,-2,150000
PEV2,24,42,2,13,15,20,16,-2,160000
PEV2,24,42,3,11,16,20,15.66666667,-2,156666.6667
LUZ19,0,37,0,19,11,19,16.33333333,-2,163333.3333
LUZ19,0,40,0,19,11,19,16.33333333,-2,163333.3333
LUZ19,0,42,0,19,11,19,16.33333333,-2,163333.3333
LUZ19,2.5,37,1,22,16,15,17.66666667,-2,176666.6667
LUZ19,2.5,37,2,10,19,13,14,-2,140000
LUZ19,2.5,37,3,17,21,19,19,-2,190000
LUZ19,2.5,40,1,14,14,14,14,-2,140000
LUZ19,2.5,40,2,15,13,13,13.66666667,-2,136666.6667
LUZ19,2.5,40,3,15,17,16,16,-2,160000
LUZ19,2.5,42,1,17,15,16,16,-2,160000
LUZ19,2.5,42,2,16,15,NA,15.5,-2,155000
LUZ19,2.5,42,3,18,14,12,14.66666667,-2,146666.6667
LUZ19,5,37,1,14,14,12,13.33333333,-2,133333.3333
LUZ19,5,37,2,15,8,11,11.33333333,-2,113333.3333
LUZ19,5,37,3,17,4,10,10.33333333,-2,103333.3333
LUZ19,5,40,1,12,9,19,13.33333333,-2,133333.3333
LUZ19,5,40,2,16,17,19,17.33333333,-2,173333.3333
LUZ19,5,40,3,11,10,12,11,-2,110000
LUZ19,5,42,1,20,14,12,15.33333333,-2,153333.3333
LUZ19,5,42,2,12,17,11,13.33333333,-2,133333.3333
LUZ19,5,42,3,16,14,13,14.33333333,-2,143333.3333
LUZ19,7.5,37,1,9,14,15,12.66666667,-2,126666.6667
LUZ19,7.5,37,2,16,17,16,16.33333333,-2,163333.3333
LUZ19,7.5,37,3,12,8,16,12,-2,120000
LUZ19,7.5,40,1,4,9,13,8.666666667,-2,86666.66667
LUZ19,7.5,40,2,19,16,15,16.66666667,-2,166666.6667
LUZ19,7.5,40,3,10,9,11,10,-2,100000
LUZ19,7.5,42,1,13,17,11,13.66666667,-2,136666.6667
LUZ19,7.5,42,2,9,12,NA,10.5,-2,105000
LUZ19,7.5,42,3,20,15,10,15,-2,150000
LUZ19,24,37,1,8,8,10,8.666666667,-2,86666.66667
LUZ19,24,37,2,5,8,12,8.333333333,-2,83333.33333
LUZ19,24,37,3,10,6,9,8.333333333,-2,83333.33333
LUZ19,24,40,1,8,9,10,9,-2,90000
LUZ19,24,40,2,10,11,17,12.66666667,-2,126666.6667
LUZ19,24,40,3,17,8,13,12.66666667,-2,126666.6667
LUZ19,24,42,1,14,10,12,12,-2,120000
LUZ19,24,42,2,13,18,8,13,-2,130000
LUZ19,24,42,3,9,10,11,10,-2,100000
phage14_1,0,37,0,33,47,40,40,-2,400000
phage14_1,0,40,0,33,47,40,40,-2,400000
phage14_1,0,42,0,33,47,40,40,-2,400000
phage14_1,2.5,37,1,32,29,27,29.33333333,-2,293333.3333
phage14_1,2.5,37,2,22,19,26,22.33333333,-2,223333.3333
phage14_1,2.5,37,3,23,32,30,28.33333333,-2,283333.3333
phage14_1,2.5,40,1,32,34,19,28.33333333,-2,283333.3333
phage14_1,2.5,40,2,29,23,27,26.33333333,-2,263333.3333
phage14_1,2.5,40,3,42,27,29,32.66666667,-2,326666.6667
phage14_1,2.5,42,1,21,24,28,24.33333333,-2,243333.3333
phage14_1,2.5,42,2,30,26,24,26.66666667,-2,266666.6667
phage14_1,2.5,42,3,39,33,32,34.66666667,-2,346666.6667
phage14_1,5,37,1,30,31,28,29.66666667,-2,296666.6667
phage14_1,5,37,2,25,24,36,28.33333333,-2,283333.3333
phage14_1,5,37,3,45,27,29,33.66666667,-2,336666.6667
phage14_1,5,40,1,33,34,28,31.66666667,-2,316666.6667
phage14_1,5,40,2,25,25,23,24.33333333,-2,243333.3333
phage14_1,5,40,3,27,37,35,33,-2,330000
phage14_1,5,42,1,29,35,20,28,-2,280000
phage14_1,5,42,2,38,26,30,31.33333333,-2,313333.3333
phage14_1,5,42,3,48,28,36,37.33333333,-2,373333.3333
phage14_1,7.5,37,1,22,35,29,28.66666667,-2,286666.6667
phage14_1,7.5,37,2,33,27,33,31,-2,310000
phage14_1,7.5,37,3,33,40,38,37,-2,370000
phage14_1,7.5,40,1,41,35,36,37.33333333,-2,373333.3333
phage14_1,7.5,40,2,28,34,31,31,-2,310000
phage14_1,7.5,40,3,34,40,24,32.66666667,-2,326666.6667
phage14_1,7.5,42,1,35,31,34,33.33333333,-2,333333.3333
phage14_1,7.5,42,2,29,28,30,29,-2,290000
phage14_1,7.5,42,3,38,39,35,37.33333333,-2,373333.3333
phage14_1,24,37,1,38,28,28,31.33333333,-2,313333.3333
phage14_1,24,37,2,27,28,47,34,-2,340000
phage14_1,24,37,3,24,28,38,30,-2,300000
phage14_1,24,40,1,23,27,36,28.66666667,-2,286666.6667
phage14_1,24,40,2,34,30,30,31.33333333,-2,313333.3333
phage14_1,24,40,3,33,28,34,31.66666667,-2,316666.6667
phage14_1,24,42,1,32,28,31,30.33333333,-2,303333.3333
phage14_1,24,42,2,33,24,32,29.66666667,-2,296666.6667
phage14_1,24,42,3,34,22,25,27,-2,270000
