time_point,hour,Temp,Phage,order,Biol rep,Batch,OD
T0,0,37,PEV2,1,1,1,0.017833333
T0,0,37,LUZ19,2,1,1,0.017833333
T0,0,37,14_1,3,1,1,0.017833333
T0,0,37,PEV2_LUZ19,4,1,1,0.017833333
T0,0,37,PEV2_14-1,5,1,1,0.017833333
T0,0,37,LUZ19_14-1,6,1,1,0.017833333
T0,0,37,3-phage_cocktail,7,1,1,0.017833333
T0,0,37,No_phage,8,1,1,0.017833333
T0,0,40,PEV2,1,1,1,0.015166667
T0,0,40,LUZ19,2,1,1,0.015166667
T0,0,40,14_1,3,1,1,0.015166667
T0,0,40,PEV2_LUZ19,4,1,1,0.015166667
T0,0,40,PEV2_14-1,5,1,1,0.015166667
T0,0,40,LUZ19_14-1,6,1,1,0.015166667
T0,0,40,3-phage_cocktail,7,1,1,0.015166667
T0,0,40,No_phage,8,1,1,0.015166667
T0,0,42,PEV2,1,1,1,0.0165
T0,0,42,LUZ19,2,1,1,0.0165
T0,0,42,14_1,3,1,1,0.0165
T0,0,42,PEV2_LUZ19,4,1,1,0.0165
T0,0,42,PEV2_14-1,5,1,1,0.0165
T0,0,42,LUZ19_14-1,6,1,1,0.0165
T0,0,42,3-phage_cocktail,7,1,1,0.0165
T0,0,42,No_phage,8,1,1,0.0165
T1,1,37,PEV2,1,1,1,0.021
T1,1,37,PEV2,1,2,1,0.02
T1,1,37,LUZ19,2,1,1,0.018666667
T1,1,37,LUZ19,2,2,1,0.019333333
T1,1,37,14_1,3,1,1,0.020333333
T1,1,37,14_1,3,2,1,0.018333333
T1,1,37,PEV2_LUZ19,4,1,1,0.020333333
T1,1,37,PEV2_LUZ19,4,2,1,0.020666667
T1,1,37,PEV2_14-1,5,1,1,0.022333333
T1,1,37,PEV2_14-1,5,2,1,0.02
T1,1,37,LUZ19_14-1,6,1,1,0.020666667
T1,1,37,LUZ19_14-1,6,2,1,0.021
T1,1,37,3-phage_cocktail,7,1,1,0.024333333
T1,1,37,3-phage_cocktail,7,2,1,0.022
T1,1,37,No_phage,8,1,1,0.017333333
T1,1,37,No_phage,8,2,1,0.021
T1,1,40,PEV2,1,1,1,0.030333333
T1,1,40,PEV2,1,2,1,0.026333333
T1,1,40,LUZ19,2,1,1,0.027666667
T1,1,40,LUZ19,2,2,1,0.025333333
T1,1,40,14_1,3,1,1,0.031333333
T1,1,40,14_1,3,2,1,0.026333333
T1,1,40,PEV2_LUZ19,4,1,1,0.026333333
T1,1,40,PEV2_LUZ19,4,2,1,0.025666667
T1,1,40,PEV2_14-1,5,1,1,0.028333333
T1,1,40,PEV2_14-1,5,2,1,0.028333333
T1,1,40,LUZ19_14-1,6,1,1,0.029
T1,1,40,LUZ19_14-1,6,2,1,0.027
T1,1,40,3-phage_cocktail,7,1,1,0.03
T1,1,40,3-phage_cocktail,7,2,1,0.026666667
T1,1,40,No_phage,8,1,1,0.027666667
T1,1,40,No_phage,8,2,1,0.027333333
T1,1,42,PEV2,1,1,1,0.033666667
T1,1,42,PEV2,1,2,1,0.031333333
T1,1,42,LUZ19,2,1,1,0.031666667
T1,1,42,LUZ19,2,2,1,0.029333333
T1,1,42,14_1,3,1,1,0.031666667
T1,1,42,14_1,3,2,1,0.032
T1,1,42,PEV2_LUZ19,4,1,1,0.031333333
T1,1,42,PEV2_LUZ19,4,2,1,0.031666667
T1,1,42,PEV2_14-1,5,1,1,0.032666667
T1,1,42,PEV2_14-1,5,2,1,0.031333333
T1,1,42,LUZ19_14-1,6,1,1,0.031333333
T1,1,42,LUZ19_14-1,6,2,1,0.029666667
T1,1,42,3-phage_cocktail,7,1,1,0.034
T1,1,42,3-phage_cocktail,7,2,1,0.030333333
T1,1,42,No_phage,8,1,1,0.031666667
T1,1,42,No_phage,8,2,1,0.031333333
T2,2,37,PEV2,1,1,1,0.028666667
T2,2,37,PEV2,1,2,1,0.025666667
T2,2,37,LUZ19,2,1,1,0.029
T2,2,37,LUZ19,2,2,1,0.027
T2,2,37,14_1,3,1,1,0.035
