Phage,Time,Time_hour,Temp,Rep,plaque_1,plaque_2,plaque_3,avg_plaque,dil,dil_plus_2,pfu_ml,Rel_pfu_ml
LUZ19,T0,0,37,1,34,34,28,32,4,4,320000,0.497409326
LUZ19,T0,0,40,1,34,34,28,32,4,4,320000,0.497409326
LUZ19,T0,0,42,1,34,34,28,32,4,4,320000,0.497409326
LUZ19,T0,0,37,2,11,12,6,9.666666667,5,5,966666.6667,1.502590674
LUZ19,T0,0,40,2,11,12,6,9.666666667,5,5,966666.6667,1.502590674
LUZ19,T0,0,42,2,11,12,6,9.666666667,5,5,966666.6667,1.502590674
LUZ19,T0,0,37,3,32,25,26,27.66666667,4,4,276666.6667,0.430051814
LUZ19,T0,0,40,3,32,25,26,27.66666667,4,4,276666.6667,0.430051814
LUZ19,T0,0,42,3,32,25,26,27.66666667,4,4,276666.6667,0.430051814
LUZ19,T2,2,37,1,24,32,33,29.66666667,6,8,2966666667,4611.398964
LUZ19,T2,2,40,1,20,19,21,20,6,8,2000000000,3108.80829
LUZ19,T2,2,42,1,24,20,16,20,6,8,2000000000,3108.80829
LUZ19,T2,2,37,2,25,27,21,24.33333333,6,8,2433333333,3782.383419
LUZ19,T2,2,40,2,34,39,32,35,6,8,3500000000,5440.414508
LUZ19,T2,2,42,2,28,18,19,21.66666667,6,8,2166666667,3367.875648
LUZ19,T2,2,37,3,24,22,25,23.66666667,6,8,2366666667,3678.756477
LUZ19,T2,2,40,3,32,34,31,32.33333333,6,8,3233333333,5025.906735
LUZ19,T2,2,42,3,68,68,65,67,5,7,670000000,1041.450777
LUZ19,T5,5,37,1,20,18,17,18.33333333,7,9,18333333333,28497.40933
LUZ19,T5,5,40,1,15,12,15,14,7,9,14000000000,21761.65803
LUZ19,T5,5,42,1,24,35,34,31,6,8,3100000000,4818.65285
LUZ19,T5,5,37,2,12,10,14,12,7,9,12000000000,18652.84974
LUZ19,T5,5,40,2,15,18,21,18,7,9,18000000000,27979.27461
LUZ19,T5,5,42,2,40,41,45,42,6,8,4200000000,6528.497409
LUZ19,T5,5,37,3,22,20,27,23,7,9,23000000000,35751.29534
LUZ19,T5,5,40,3,38,27,18,27.66666667,7,9,27666666667,43005.18135
LUZ19,T5,5,42,3,33,34,40,35.66666667,6,8,3566666667,5544.041451
PEV2,T0,0,37,1,28,28,19,25,4,4,250000,1.102941177
PEV2,T0,0,40,1,28,28,19,25,4,4,250000,1.102941177
PEV2,T0,0,42,1,28,28,19,25,4,4,250000,1.102941177
PEV2,T0,0,37,2,17,21,23,20.33333333,4,4,203333.3333,0.897058823
PEV2,T0,0,40,2,17,21,23,20.33333333,4,4,203333.3333,0.897058823
PEV2,T0,0,42,2,17,21,23,20.33333333,4,4,203333.3333,0.897058823
PEV2,T0,0,37,3,29,24,20,24.33333333,4,4,243333.3333,1.073529412
PEV2,T0,0,40,3,29,24,20,24.33333333,4,4,243333.3333,1.073529412
PEV2,T0,0,42,3,29,24,20,24.33333333,4,4,243333.3333,1.073529412
PEV2,T2,2,37,1,82,93,88,87.66666667,5,7,876666666.7,3867.647059
PEV2,T2,2,40,1,30,32,29,30.33333333,5,7,303333333.3,1338.235294
PEV2,T2,2,42,1,16,30,44,30,1,3,30000,0.132352941
PEV2,T2,2,37,2,21,27,25,24.33333333,6,8,2433333333,10735.29412
PEV2,T2,2,40,2,11,10,7,9.333333333,6,8,933333333.3,4117.647059
PEV2,T2,2,42,2,39,29,38,35.33333333,1,3,35333.33333,0.155882353
PEV2,T2,2,37,3,34,34,26,31.33333333,6,8,3133333333,13823.52941
PEV2,T2,2,40,3,16,22,20,19.33333333,6,8,1933333333,8529.411764
PEV2,T2,2,42,3,31,29,32,30.66666667,1,3,30666.66667,0.135294118
PEV2,T5,5,37,1,57,55,60,57.33333333,6,8,5733333333,25294.11765
PEV2,T5,5,40,1,31,30,22,27.66666667,6,8,2766666667,12205.88236
PEV2,T5,5,42,1,2,2,6,3.333333333,1,3,3333.333333,0.014705882
PEV2,T5,5,37,2,58,42,50,50,6,8,5000000000,22058.82353
PEV2,T5,5,40,2,26,33,29,29.33333333,6,8,2933333333,12941.17647
PEV2,T5,5,42,2,6,2,3,3.666666667,1,3,3666.666667,0.016176471
PEV2,T5,5,37,3,30,45,36,37,6,8,3700000000,16323.52941
PEV2,T5,5,40,3,34,40,32,35.33333333,6,8,3533333333,15588.23529
PEV2,T5,5,42,3,19,11,15,15,1,3,15000,0.066176471
phage_14_1,T0,0,37,1,12,13,21,15.33333333,4,4,153333.3333,0.707692308
phage_14_1,T0,0,40,1,12,13,21,15.33333333,4,4,153333.3333,0.707692308
phage_14_1,T0,0,42,1,12,13,21,15.33333333,4,4,153333.3333,0.707692308
phage_14_1,T0,0,37,2,34,25,25,28,4,4,280000,1.292307692
phage_14_1,T0,0,40,2,34,25,25,28,4,4,280000,1.292307692
phage_14_1,T0,0,42,2,34,25,25,28,4,4,280000,1.292307692
phage_14_1,T0,0,37,3,29,37,26,30.66666667,4,4,306666.6667,1.415384616
phage_14_1,T0,0,40,3,29,37,26,30.66666667,4,4,306666.6667,1.415384616
phage_14_1,T0,0,42,3,29,37,26,30.66666667,4,4,306666.6667,1.415384616
phage_14_1,T2,2,37,1,47,45,50,47.33333333,3,5,4733333.333,21.84615385
phage_14_1,T2,2,40,1,49,32,43,41.33333333,3,5,4133333.333,19.07692308
phage_14_1,T2,2,42,1,99,112,83,98,1,3,98000,0.452307692
phage_14_1,T2,2,37,2,50,49,52,50.33333333,3,5,5033333.333,23.23076923
phage_14_1,T2,2,40,2,139,144,137,140,3,5,14000000,64.61538462
phage_14_1,T2,2,42,2,45,41,35,40.33333333,1,3,40333.33333,0.186153846
phage_14_1,T2,2,37,3,14,11,10,11.66666667,4,6,11666666.67,53.84615387
phage_14_1,T2,2,40,3,19,29,32,26.66666667,4,6,26666666.67,123.0769231
phage_14_1,T2,2,42,3,24,24,16,21.33333333,1,3,21333.33333,0.098461538
phage_14_1,T5,5,37,1,54,49,42,48.33333333,6,8,4833333333,22307.69231
phage_14_1,T5,5,40,1,30,35,29,31.33333333,6,8,3133333333,14461.53846
phage_14_1,T5,5,42,1,37,39,41,39,3,5,3900000,18
phage_14_1,T5,5,37,2,104,105,84,97.66666667,6,8,9766666667,45076.92308
phage_14_1,T5,5,40,2,80,86,89,85,6,8,8500000000,39230.76923
phage_14_1,T5,5,42,2,32,36,34,34,2,4,340000,1.569230769
phage_14_1,T5,5,37,3,42,48,45,45,6,8,4500000000,20769.23077
phage_14_1,T5,5,40,3,25,30,28,27.66666667,6,8,2766666667,12769.23077
phage_14_1,T5,5,42,3,70,43,63,58.66666667,2,4,586666.6667,2.707692308
